site,terrain,plot_type,Y,X,n_spruce,plot_area_m2
FoxLake,Lowland,Quick,6798727.904,467175.9086,0,40
FoxLake,Lowland,Quick,6798734.402,467181.7364,7,40
FoxLake,Lowland,Quick,6798734.532,466747.6886,0,40
FoxLake,Lowland,Regen,6798734.692,467182.3666,4,50.26548246
FoxLake,Lowland,Quick,6798738.083,467191.0346,2,40
FoxLake,Lowland,Quick,6798741.763,467200.3327,1,40
FoxLake,Lowland,Quick,6798744.142,466750.4556,0,40
FoxLake,Lowland,Quick,6798745.443,467209.6309,1,40
FoxLake,Lowland,Quick,6798746.688,467215.1864,0,40
FoxLake,Lowland,Regen,6798748.667,467217.4764,3,50.26548246
FoxLake,Lowland,Quick,6798752.61,467223.2443,2,40
FoxLake,Lowland,Quick,6798753.752,466753.2225,0,40
FoxLake,Lowland,Quick,6798758.532,467231.3022,0,40
FoxLake,Lowland,Regen,6798760.1,466756.0589,0,50.0144692
FoxLake,Lowland,Quick,6798764.454,467239.3601,0,40
FoxLake,Lowland,Quick,6798770.376,467247.418,0,40
FoxLake,Lowland,Quick,6798775.332,466756.7683,1,40
FoxLake,Lowland,Quick,6798776.298,467255.4759,0,40
FoxLake,Lowland,Quick,6798782.22,467263.5338,3,40
FoxLake,Lowland,Quick,6798785.299,466757.5818,1,40
FoxLake,Lowland,Quick,6798788.142,467271.5917,0,40
FoxLake,Lowland,Quick,6798794.064,467279.6496,1,40
FoxLake,Lowland,Quick,6798795.266,466758.3954,0,40
FoxLake,Lowland,Quick,6798798.766,467287.6672,0,40
FoxLake,Lowland,Regen,6798799.185,467286.7659,3,50.26548246
FoxLake,Lowland,Quick,6798805.11,467279.937,0,40
FoxLake,Lowland,Quick,6798805.233,466759.2089,0,40
FoxLake,Lowland,Quick,6798811.453,467272.2069,0,40
FoxLake,Lowland,Quick,6798815.2,466760.0225,0,40
FoxLake,Lowland,Quick,6798817.797,467264.4767,1,40
FoxLake,Lowland,Quick,6798819.818,467261.302,0,40
FoxLake,Lowland,Regen,6798823.617,467257.194,0,50.26548246
FoxLake,Lowland,Quick,6798825.167,466760.8361,0,40
FoxLake,Lowland,Quick,6798826.8,467254.1428,0,40
FoxLake,Lowland,Quick,6798833.781,467246.9835,0,40
FoxLake,Lowland,Quick,6798835.133,466761.6496,0,40
FoxLake,Lowland,Quick,6798840.763,467239.8243,0,40
FoxLake,Lowland,Quick,6798845.1,466762.4632,0,40
FoxLake,Lowland,Quick,6798847.745,467232.665,0,40
FoxLake,Lowland,Regen,6798854.45,466980.8681,0,50.0144692
FoxLake,Lowland,Quick,6798854.727,467225.5058,0,40
FoxLake,Lowland,Quick,6798855.067,466763.2767,0,40
